id	key	logical_name	h	w	c	scale	zero_point	first_op	last_op	arena_offset	bytes	physical_layout
0	model4.preact	/model.4/cv2/conv/Conv_output_0_QuantizeLinear_Output	80	80	128	0.066064663231372833	142	-1	0	0	819200	NHWC_signed_s8
1	model4.postact	/model.4/cv2/act/Mul_output_0_QuantizeLinear_Output	80	80	128	0.030298452824354172	9	0	1	819200	819200	NHWC_signed_s8
2	model.5.output	/model.5/act/Mul_output_0_QuantizeLinear_Output	40	40	128	0.027727888897061348	10	1	2	0	204800	NHWC_signed_s8
3	model.6.split0_outer	/model.6/Split_output_0@outer_scale	40	40	64	0.038419272750616074	7	2	13	204800	102400	NHWC_signed_s8
4	model.6.split1	/model.6/Split_output_1_QuantizeLinear_Output	40	40	64	0.035990659147500992	8	2	13	307200	102400	NHWC_signed_s8
5	model.6.m0_cv1_act	/model.6/m.0/cv1/act/Mul_output_0_QuantizeLinear_Output	40	40	32	0.016115730628371239	17	3	7	0	51200	NHWC_signed_s8
6	model.6.m0_cv2_inner	/model.6/m.0/cv2/act@inner_scale	40	40	32	0.04803607240319252	17	4	11	51200	51200	NHWC_signed_s8
7	model.6.r0_cv1_act	/model.6/m.0/m/m.0/cv1/act/Mul_output_0_QuantizeLinear_Output	40	40	32	0.029125306755304337	10	5	6	102400	51200	NHWC_signed_s8
8	model.6.r0_cv2_preact	/model.6/m.0/m/m.0/cv2/conv/Conv_output_0_QuantizeLinear_Output	40	40	32	0.044328935444355011	146	6	7	153600	51200	NHWC_signed_s8
9	model.6.add0	/model.6/m.0/m/m.0/Add_output_0_QuantizeLinear_Output	40	40	32	0.025938993319869041	21	7	10	102400	51200	NHWC_signed_s8
10	model.6.r1_cv1_act	/model.6/m.0/m/m.1/cv1/act/Mul_output_0_QuantizeLinear_Output	40	40	32	0.026028813794255257	11	8	9	0	51200	NHWC_signed_s8
11	model.6.r1_cv2_preact	/model.6/m.0/m/m.1/cv2/conv/Conv_output_0_QuantizeLinear_Output	40	40	32	0.076533496379852295	132	9	10	153600	51200	NHWC_signed_s8
12	model.6.add1_inner	/model.6/m.0/m/m.1/Add@inner_scale	40	40	32	0.04803607240319252	17	10	11	0	51200	NHWC_signed_s8
13	model.6.inner_concat	/model.6/m.0/Concat_output_0_QuantizeLinear_Output	40	40	64	0.04803607240319252	17	11	12	409600	102400	NHWC_signed_s8
14	model.6.cv3_outer	/model.6/m.0/cv3/act@outer_scale	40	40	64	0.038419272750616074	7	12	13	512000	102400	NHWC_signed_s8
15	model.6.outer_concat	/model.6/Concat_output_0_QuantizeLinear_Output	40	40	192	0.038419272750616074	7	13	14	819200	307200	NHWC_signed_s8
16	model.6.output	/model.6/cv2/act/Mul_output_0_QuantizeLinear_Output	40	40	128	0.028037777170538902	10	14	15	614400	204800	NHWC_signed_s8
17	model.7.output	/model.7/act/Mul_output_0_QuantizeLinear_Output	20	20	256	0.034168541431427002	8	15	16	204800	102400	NHWC_signed_s8
18	model.8.split0_outer	/model.8/Split_output_0@outer_scale	20	20	128	0.045013688504695892	6	16	27	0	51200	NHWC_signed_s8
19	model.8.split1	/model.8/Split_output_1_QuantizeLinear_Output	20	20	128	0.037084359675645828	8	16	27	51200	51200	NHWC_signed_s8
20	model.8.m0_cv1_act	/model.8/m.0/cv1/act/Mul_output_0_QuantizeLinear_Output	20	20	64	0.032495331019163132	9	17	21	102400	25600	NHWC_signed_s8
21	model.8.m0_cv2_inner	/model.8/m.0/cv2/act@inner_scale	20	20	64	0.089061781764030457	9	18	25	128000	25600	NHWC_signed_s8
22	model.8.r0_cv1_act	/model.8/m.0/m/m.0/cv1/act/Mul_output_0_QuantizeLinear_Output	20	20	64	0.0519237220287323	5	19	20	153600	25600	NHWC_signed_s8
23	model.8.r0_cv2_preact	/model.8/m.0/m/m.0/cv2/conv/Conv_output_0_QuantizeLinear_Output	20	20	64	0.090949535369873047	115	20	21	179200	25600	NHWC_signed_s8
24	model.8.add0	/model.8/m.0/m/m.0/Add_output_0_QuantizeLinear_Output	20	20	64	0.054633613675832748	10	21	24	153600	25600	NHWC_signed_s8
25	model.8.r1_cv1_act	/model.8/m.0/m/m.1/cv1/act/Mul_output_0_QuantizeLinear_Output	20	20	64	0.064043141901493073	4	22	23	102400	25600	NHWC_signed_s8
26	model.8.r1_cv2_preact	/model.8/m.0/m/m.1/cv2/conv/Conv_output_0_QuantizeLinear_Output	20	20	64	0.13001835346221924	132	23	24	179200	25600	NHWC_signed_s8
27	model.8.add1_inner	/model.8/m.0/m/m.1/Add@inner_scale	20	20	64	0.089061781764030457	9	24	25	102400	25600	NHWC_signed_s8
28	model.8.inner_concat	/model.8/m.0/Concat_output_0_QuantizeLinear_Output	20	20	128	0.089061781764030457	9	25	26	204800	51200	NHWC_signed_s8
29	model.8.cv3_outer	/model.8/m.0/cv3/act@outer_scale	20	20	128	0.045013688504695892	6	26	27	256000	51200	NHWC_signed_s8
30	model.8.outer_concat	/model.8/Concat_output_0_QuantizeLinear_Output	20	20	384	0.045013688504695892	6	27	28	614400	153600	NHWC_signed_s8
31	model.8.output	/model.8/cv2/act/Mul_output_0_QuantizeLinear_Output	20	20	256	0.032615300267934799	9	28	29	307200	102400	NHWC_signed_s8
