surface	category_id	class_name	instances	ap50_95	ap50	ar_100
B2-cpu	1	person	1092	0.5017891899191472	0.7572428092107758	0.6663003663003664
B2-cpu	2	bicycle	26	0.4542307366101136	0.6596443335049512	0.573076923076923
B2-cpu	3	car	176	0.4182080597178959	0.6563676430571619	0.6267045454545455
B2-cpu	4	motorcycle	37	0.5418330392340486	0.7452267866730097	0.6756756756756757
B2-cpu	5	airplane	16	0.6769078161474803	0.9016973125884018	0.78125
B2-cpu	6	bus	34	0.6274200196915604	0.8167660192474709	0.8029411764705883
B2-cpu	7	train	22	0.5914375442744467	0.803161226172756	0.7636363636363637
B2-cpu	8	truck	53	0.5078616959196319	0.6533660909508386	0.749056603773585
B2-cpu	9	boat	42	0.33343984785027725	0.5312576330396617	0.5976190476190475
B2-cpu	10	traffic light	70	0.19006364174715498	0.3988207231521537	0.37
B2-cpu	11	fire hydrant	2	0.5049504950495048	0.5049504950495048	0.5
B2-cpu	13	stop sign	6	0.6455785007072136	0.7384441301272984	0.8833333333333334
B2-cpu	14	parking meter	1	0.9999999999999998	0.9999999999999999	1.0
B2-cpu	15	bench	46	0.2882921787778729	0.37929382353014607	0.5043478260869565
B2-cpu	16	bird	67	0.4558829254052855	0.6937673589426044	0.5895522388059702
B2-cpu	17	cat	15	0.7816078458777554	0.8984810282270462	0.9
B2-cpu	18	dog	17	0.507039525528985	0.6766638783092422	0.7470588235294117
B2-cpu	19	horse	25	0.5830034416752269	0.7837853660906929	0.7040000000000001
B2-cpu	20	sheep	34	0.6948010887887384	0.8498164156601337	0.8088235294117647
B2-cpu	21	cow	25	0.745506608616708	0.8649532002878135	0.86
B2-cpu	22	elephant	26	0.7176505687918043	0.8809412158946271	0.8307692307692308
B2-cpu	23	bear	4	0.7277227722772277	0.8514851485148514	0.875
B2-cpu	24	zebra	30	0.6981053836018344	0.8738904091306257	0.8099999999999999
B2-cpu	25	giraffe	12	0.7544627313410074	0.9148656042074792	0.8583333333333334
B2-cpu	27	backpack	22	0.15581185404576103	0.23191112207526993	0.4636363636363637
B2-cpu	28	umbrella	42	0.42512111707409383	0.7948710690939548	0.6785714285714286
B2-cpu	31	handbag	45	0.07768049200376637	0.15836764280503213	0.43555555555555553
B2-cpu	32	tie	34	0.5276219875045157	0.7198837850041078	0.6
B2-cpu	33	suitcase	11	0.5722763875111369	0.9028595167209024	0.8818181818181818
B2-cpu	34	frisbee	13	0.44399245638849605	0.6053725372537254	0.5846153846153845
B2-cpu	35	skis	51	0.23943826375345537	0.46524074904127216	0.47058823529411764
B2-cpu	36	snowboard	15	0.3178418490535668	0.47506557709712877	0.4666666666666667
B2-cpu	37	sports ball	30	0.2491992975359312	0.32328130187536125	0.33666666666666667
B2-cpu	38	kite	41	0.4666295905639613	0.6959469606641128	0.7146341463414634
B2-cpu	39	baseball bat	25	0.2762903448033942	0.4859858331106113	0.5640000000000001
B2-cpu	40	baseball glove	15	0.5078110000091405	0.7422956179295229	0.62
B2-cpu	41	skateboard	36	0.4854710333174246	0.7508567507773853	0.6944444444444445
B2-cpu	42	surfboard	15	0.34077812817581893	0.5147585872652631	0.6133333333333333
B2-cpu	43	tennis racket	20	0.4925507835598894	0.8470441295858169	0.6749999999999999
B2-cpu	44	bottle	111	0.39281804730235964	0.5853251349624163	0.6378378378378379
B2-cpu	46	wine glass	28	0.3410175185289435	0.585107103052175	0.6392857142857143
B2-cpu	47	cup	74	0.44518619541084925	0.592736559210542	0.6959459459459458
B2-cpu	48	fork	8	0.163848157769123	0.22878633803930523	0.6625
B2-cpu	49	knife	38	0.209682987914873	0.3744564484437488	0.4078947368421052
B2-cpu	50	spoon	37	0.1414920774078801	0.24992991205640824	0.38378378378378375
B2-cpu	51	bowl	67	0.2661312440792395	0.3521270590906814	0.5402985074626866
B2-cpu	52	banana	47	0.3053244562228111	0.4864815900792834	0.5191489361702127
B2-cpu	53	apple	13	0.34447229175808997	0.5068328297877986	0.6846153846153846
B2-cpu	54	sandwich	12	0.553002487023272	0.6886715765172577	0.8166666666666667
B2-cpu	55	orange	19	0.30893551016451876	0.38776131353060517	0.7578947368421052
B2-cpu	56	broccoli	29	0.21953037202741543	0.35550259741695284	0.503448275862069
B2-cpu	57	carrot	21	0.5553856326725689	0.721751895395979	0.819047619047619
B2-cpu	58	hot dog	12	0.2737968427307834	0.347949476266308	0.4916666666666667
B2-cpu	59	pizza	13	0.676052297389485	0.8461453575698128	0.8076923076923077
B2-cpu	60	donut	6	0.25107260726072606	0.30156765676567654	0.39999999999999997
B2-cpu	61	cake	18	0.3842968639372318	0.5708459641950818	0.5444444444444444
B2-cpu	62	chair	103	0.382126823717209	0.5741448084624186	0.6572815533980583
B2-cpu	63	couch	35	0.45926153272585113	0.6784296913268733	0.8457142857142858
B2-cpu	64	potted plant	49	0.3233546716108466	0.5594976542637675	0.6081632653061224
B2-cpu	65	bed	15	0.5720458763679077	0.692551798047154	0.8066666666666666
B2-cpu	67	dining table	70	0.2935519831552579	0.4821549350258509	0.6071428571428571
B2-cpu	70	toilet	17	0.6568897400789788	0.9211127226524102	0.8882352941176471
B2-cpu	72	tv	35	0.4880707478870935	0.6224374027667826	0.6857142857142857
B2-cpu	73	laptop	25	0.6948232296370914	0.8472935252877761	0.836
B2-cpu	74	mouse	13	0.5863774374257775	0.7658439452848305	0.7307692307692307
B2-cpu	75	remote	24	0.261325575996616	0.4966993800052258	0.4833333333333334
B2-cpu	76	keyboard	22	0.4831228530238974	0.6649512394271138	0.7
B2-cpu	77	cell phone	31	0.4601401172672732	0.5975703700523777	0.635483870967742
B2-cpu	78	microwave	5	0.43289943018450133	0.5512986081216817	0.76
B2-cpu	79	oven	22	0.5345284892438276	0.7538346691812038	0.7363636363636363
B2-cpu	80	toaster	2	0.0	0.0	0.0
B2-cpu	81	sink	31	0.4679684072854798	0.6117252337506065	0.6451612903225806
B2-cpu	82	refrigerator	15	0.512152574239226	0.7073776397247569	0.7533333333333334
B2-cpu	84	book	121	0.20010034720830644	0.35019820441581756	0.4909090909090909
B2-cpu	85	clock	14	0.46475939174777564	0.5788684259098229	0.6071428571428571
B2-cpu	86	vase	34	0.31977511199586744	0.4209623801893024	0.5205882352941177
B2-cpu	87	scissors	4	0.2707166753857382	0.36056105610561046	0.55
B2-cpu	88	teddy bear	34	0.42336369033704263	0.7157620884565833	0.614705882352941
B2-cpu	89	hair drier	0	nan	nan	nan
B2-cpu	90	toothbrush	7	0.4618808254451819	0.6633663366336634	0.6428571428571428
B2-spacemit	1	person	1092	0.5044699567321334	0.7622377304822278	0.6673992673992675
B2-spacemit	2	bicycle	26	0.4312045931904527	0.6309979045906248	0.5653846153846154
B2-spacemit	3	car	176	0.41262864100650476	0.657441593982507	0.6261363636363637
B2-spacemit	4	motorcycle	37	0.5315920345175051	0.7409657659540236	0.6432432432432433
B2-spacemit	5	airplane	16	0.7285726615798568	0.9016973125884018	0.78125
B2-spacemit	6	bus	34	0.6405681248478412	0.8354320404321041	0.8147058823529412
B2-spacemit	7	train	22	0.6183071903718917	0.8292657422874018	0.7636363636363638
B2-spacemit	8	truck	53	0.5006590521902858	0.6471719941633961	0.7754716981132075
