field	value
timestamp_utc	2026-08-27T01:48:17Z
hostname	bf3
device_serial	92262f3b0dc4
boot_id	0a0691d1-7502-44c3-903b-444dba83c1d9
kernel	Linux bf3 6.6.63 #2.2.7.2 SMP PREEMPT Fri Aug 15 12:32:44 UTC 2025 riscv64 riscv64 riscv64 GNU/Linux
os_release	Bianbu 2.2.1
allowed_cpu_list	0-7
data_mount	/dev/nvme0n1p1 ext4   rw,noatime
root_mount	/dev/mmcblk2p6 ext4   rw,noatime,errors=remount-ro
data_free_bytes	435300405248
governor	/sys/devices/system/cpu/cpu0/cpufreq/scaling_governor=performance
governor	/sys/devices/system/cpu/cpu1/cpufreq/scaling_governor=performance
governor	/sys/devices/system/cpu/cpu2/cpufreq/scaling_governor=performance
governor	/sys/devices/system/cpu/cpu3/cpufreq/scaling_governor=performance
governor	/sys/devices/system/cpu/cpu4/cpufreq/scaling_governor=performance
governor	/sys/devices/system/cpu/cpu5/cpufreq/scaling_governor=performance
governor	/sys/devices/system/cpu/cpu6/cpufreq/scaling_governor=performance
governor	/sys/devices/system/cpu/cpu7/cpufreq/scaling_governor=performance
frequency_khz	/sys/devices/system/cpu/cpu0/cpufreq/scaling_cur_freq=1600000
frequency_khz	/sys/devices/system/cpu/cpu1/cpufreq/scaling_cur_freq=1600000
frequency_khz	/sys/devices/system/cpu/cpu2/cpufreq/scaling_cur_freq=1600000
frequency_khz	/sys/devices/system/cpu/cpu3/cpufreq/scaling_cur_freq=1600000
frequency_khz	/sys/devices/system/cpu/cpu4/cpufreq/scaling_cur_freq=1600000
frequency_khz	/sys/devices/system/cpu/cpu5/cpufreq/scaling_cur_freq=1600000
frequency_khz	/sys/devices/system/cpu/cpu6/cpufreq/scaling_cur_freq=1600000
frequency_khz	/sys/devices/system/cpu/cpu7/cpufreq/scaling_cur_freq=1600000
temperature_millic	/sys/class/thermal/thermal_zone0/temp=47000
temperature_millic	/sys/class/thermal/thermal_zone1/temp=47000
temperature_millic	/sys/class/thermal/thermal_zone2/temp=48000
temperature_millic	/sys/class/thermal/thermal_zone3/temp=48000
emmc_stage_path_count	0
